UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,1,Sertão Pernambucano,4,Sertão do Moxotó,1805,2601805,Betânia
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,8,Vale do Ipojuca,1904,2601904,Bezerros
26,Pernambuco,2604,Petrolina,260016,Araripina,1,Sertão Pernambucano,1,Araripina,2001,2602001,Bodocó
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,2100,2602100,Bom Conselho
26,Pernambuco,2601,Recife,260004,Limoeiro,3,Agreste Pernambucano,10,Médio Capibaribe,2209,2602209,Bom Jardim
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,2308,2602308,Bonito
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,2407,2602407,Brejão
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,2506,2602506,Brejinho
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,8,Vale do Ipojuca,2605,2602605,Brejo da Madre de Deus
26,Pernambuco,2601,Recife,260006,Carpina,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,2704,2602704,Buenos Aires
26,Pernambuco,2602,Caruaru,260011,Arcoverde,3,Agreste Pernambucano,7,Vale do Ipanema,2803,2602803,Buíque
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,18,Suape,2902,2602902,Cabo de Santo Agostinho
26,Pernambuco,2604,Petrolina,260017,Salgueiro,2,São Francisco Pernambucano,5,Petrolina,3009,2603009,Cabrobó
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,8,Vale do Ipojuca,3108,2603108,Cachoeirinha
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,3207,2603207,Caetés
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,3306,2603306,Calçado
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,1,Sertão Pernambucano,3,Pajeú,3405,2603405,Calumbi
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,17,Recife,3454,2603454,Camaragibe
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,3504,2603504,Camocim de São Félix
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,3603,2603603,Camutanga
